artist_name,pid
Shawn Mendes,161000
Cheat Codes,161000
DJ Khaled,161000
Natasha Bedingfield,161000
Tove Lo,161000
Halsey,161000
Borgeous,161000
Mike Perry,161000
Gryffin,161000
The Chainsmokers,161000
Alesso,161000
Zara Larsson,161000
Borgeous,161000
Lauv,161000
Cashmere Cat,161000
Cashmere Cat,161000
Halsey,161000
Skylar Stecker,161000
Kehlani,161000
José González,161000
Audien,161000
Martin Garrix,161000
Miguel,161000
Miguel,161000
The Chainsmokers,161000
Liam Payne,161000
Kendrick Lamar,161000
AJ Mitchell,161000
Loote,161000
Niall Horan,161000
Axwell /\ Ingrosso,161000
Rita Ora,161000
Tritonal,161000
Robin Schulz,161000
ODESZA,161000
Halsey,161000
Vicetone,161000
The Chainsmokers,161000
Sigala,161000
Seeb,161000
Fifth Harmony,161000
Major Lazer,161000
Jason Derulo,161000
The Chainsmokers,161000
Zara Larsson,161000
Kygo,161000
Charlie Puth,161000
Khalid,161000
French Montana,161000
Lady Gaga,161000
Drake,161000
Counting Crows,161001
Sister Hazel,161001
Gin Blossoms,161001
Nine Days,161001
Semisonic,161001
Lifehouse,161001
Lifehouse,161001
Tonic,161001
Collective Soul,161001
Collective Soul,161001
Better Than Ezra,161001
The Wallflowers,161001
Sugar Ray,161001
Sugar Ray,161001
Sugar Ray,161001
Sugar Ray,161001
The Verve Pipe,161001
The Calling,161001
Everclear,161001
Everclear,161001
Everclear,161001
Everclear,161001
Eve 6,161001
Lit,161001
Bush,161001
Bush,161001
Bush,161001
Fuel,161001
Fuel,161001
Matchbox Twenty,161001
The Goo Goo Dolls,161001
Green Day,161001
Green Day,161001
Green Day,161001
Green Day,161001
Green Day,161001
Green Day,161001
The All-American Rejects,161001
The Ataris,161001
The Goo Goo Dolls,161001
Oasis,161001
Oasis,161001
Oasis,161001
The Cranberries,161001
The Cranberries,161001
Collective Soul,161001
The Mighty Mighty Bosstones,161001
Edwin McCain,161001
Tracy Chapman,161001
Blind Melon,161001
Eagle-Eye Cherry,161001
Sublime,161001
Beck,161001
Red Hot Chili Peppers,161001
Everclear,161001
Foo Fighters,161001
George Strait,161002
George Strait,161002
George Strait,161002
George Strait,161002
George Strait,161002
George Strait,161002
George Strait,161002
George Strait,161002
Kenny Chesney,161002
George Strait,161002
George Strait,161002
George Strait,161002
George Strait,161002
George Strait,161002
Billy Currington,161002
Billy Currington,161002
Shania Twain,161002
Billy Currington,161002
Kenny Chesney,161002
Kenny Chesney,161002
Kenny Chesney,161002
Kenny Chesney,161002
Kenny Chesney,161002
Kenny Chesney,161002
Trace Adkins,161002
Trace Adkins,161002
Trace Adkins,161002
Shania Twain,161002
Shania Twain,161002
Tim McGraw,161002
Tim McGraw,161002
Tim McGraw,161002
Tim McGraw,161002
Tim McGraw,161002
Faith Hill,161002
Tim McGraw,161002
SHeDAISY,161002
Alan Jackson,161002
Alan Jackson,161002
Zac Brown Band,161002
Alan Jackson,161002
